type,file,glyph,say,meaning
letter,letters/ha-1.mp3,ሀ,ha,
letter,letters/ha-2.mp3,ሁ,hu,
letter,letters/ha-3.mp3,ሂ,hee,
letter,letters/ha-4.mp3,ሃ,haa,
letter,letters/ha-5.mp3,ሄ,he,
letter,letters/ha-6.mp3,ህ,hih,
letter,letters/ha-7.mp3,ሆ,ho,
letter,letters/le-1.mp3,ለ,la,
letter,letters/le-2.mp3,ሉ,lu,
letter,letters/le-3.mp3,ሊ,lee,
letter,letters/le-4.mp3,ላ,laa,
letter,letters/le-5.mp3,ሌ,le,
letter,letters/le-6.mp3,ል,lih,
letter,letters/le-7.mp3,ሎ,lo,
letter,letters/hha-1.mp3,ሐ,ha,
letter,letters/hha-2.mp3,ሑ,hu,
letter,letters/hha-3.mp3,ሒ,hee,
letter,letters/hha-4.mp3,ሓ,haa,
letter,letters/hha-5.mp3,ሔ,he,
letter,letters/hha-6.mp3,ሕ,hih,
letter,letters/hha-7.mp3,ሖ,ho,
letter,letters/me-1.mp3,መ,ma,
letter,letters/me-2.mp3,ሙ,mu,
letter,letters/me-3.mp3,ሚ,mee,
letter,letters/me-4.mp3,ማ,maa,
letter,letters/me-5.mp3,ሜ,me,
letter,letters/me-6.mp3,ም,mih,
letter,letters/me-7.mp3,ሞ,mo,
letter,letters/sse-1.mp3,ሠ,sa,
letter,letters/sse-2.mp3,ሡ,su,
letter,letters/sse-3.mp3,ሢ,see,
letter,letters/sse-4.mp3,ሣ,saa,
letter,letters/sse-5.mp3,ሤ,se,
letter,letters/sse-6.mp3,ሥ,sih,
letter,letters/sse-7.mp3,ሦ,so,
letter,letters/re-1.mp3,ረ,ra,
letter,letters/re-2.mp3,ሩ,ru,
letter,letters/re-3.mp3,ሪ,ree,
letter,letters/re-4.mp3,ራ,raa,
letter,letters/re-5.mp3,ሬ,re,
letter,letters/re-6.mp3,ር,rih,
letter,letters/re-7.mp3,ሮ,ro,
letter,letters/se-1.mp3,ሰ,sa,
letter,letters/se-2.mp3,ሱ,su,
letter,letters/se-3.mp3,ሲ,see,
letter,letters/se-4.mp3,ሳ,saa,
letter,letters/se-5.mp3,ሴ,se,
letter,letters/se-6.mp3,ስ,sih,
letter,letters/se-7.mp3,ሶ,so,
letter,letters/she-1.mp3,ሸ,sha,
letter,letters/she-2.mp3,ሹ,shu,
letter,letters/she-3.mp3,ሺ,shee,
letter,letters/she-4.mp3,ሻ,shaa,
letter,letters/she-5.mp3,ሼ,she,
letter,letters/she-6.mp3,ሽ,shih,
letter,letters/she-7.mp3,ሾ,sho,
letter,letters/qe-1.mp3,ቀ,qa,
letter,letters/qe-2.mp3,ቁ,qu,
letter,letters/qe-3.mp3,ቂ,qee,
letter,letters/qe-4.mp3,ቃ,qaa,
letter,letters/qe-5.mp3,ቄ,qe,
letter,letters/qe-6.mp3,ቅ,qih,
letter,letters/qe-7.mp3,ቆ,qo,
letter,letters/be-1.mp3,በ,ba,
letter,letters/be-2.mp3,ቡ,bu,
letter,letters/be-3.mp3,ቢ,bee,
letter,letters/be-4.mp3,ባ,baa,
letter,letters/be-5.mp3,ቤ,be,
letter,letters/be-6.mp3,ብ,bih,
letter,letters/be-7.mp3,ቦ,bo,
letter,letters/te-1.mp3,ተ,ta,
letter,letters/te-2.mp3,ቱ,tu,
letter,letters/te-3.mp3,ቲ,tee,
letter,letters/te-4.mp3,ታ,taa,
letter,letters/te-5.mp3,ቴ,te,
letter,letters/te-6.mp3,ት,tih,
letter,letters/te-7.mp3,ቶ,to,
letter,letters/che-1.mp3,ቸ,cha,
letter,letters/che-2.mp3,ቹ,chu,
letter,letters/che-3.mp3,ቺ,chee,
letter,letters/che-4.mp3,ቻ,chaa,
letter,letters/che-5.mp3,ቼ,che,
letter,letters/che-6.mp3,ች,chih,
letter,letters/che-7.mp3,ቾ,cho,
letter,letters/kha-1.mp3,ኀ,ha,
letter,letters/kha-2.mp3,ኁ,hu,
letter,letters/kha-3.mp3,ኂ,hee,
letter,letters/kha-4.mp3,ኃ,haa,
letter,letters/kha-5.mp3,ኄ,he,
letter,letters/kha-6.mp3,ኅ,hih,
letter,letters/kha-7.mp3,ኆ,ho,
letter,letters/ne-1.mp3,ነ,na,
letter,letters/ne-2.mp3,ኑ,nu,
letter,letters/ne-3.mp3,ኒ,nee,
letter,letters/ne-4.mp3,ና,naa,
letter,letters/ne-5.mp3,ኔ,ne,
letter,letters/ne-6.mp3,ን,nih,
letter,letters/ne-7.mp3,ኖ,no,
letter,letters/nye-1.mp3,ኘ,nya,
letter,letters/nye-2.mp3,ኙ,nyu,
letter,letters/nye-3.mp3,ኚ,nyee,
letter,letters/nye-4.mp3,ኛ,nyaa,
letter,letters/nye-5.mp3,ኜ,nye,
letter,letters/nye-6.mp3,ኝ,nyih,
letter,letters/nye-7.mp3,ኞ,nyo,
letter,letters/a-1.mp3,አ,a,
letter,letters/a-2.mp3,ኡ,u,
letter,letters/a-3.mp3,ኢ,ee,
letter,letters/a-4.mp3,ኣ,aa,
letter,letters/a-5.mp3,ኤ,e,
letter,letters/a-6.mp3,እ,ih,
letter,letters/a-7.mp3,ኦ,o,
letter,letters/ke-1.mp3,ከ,ka,
letter,letters/ke-2.mp3,ኩ,ku,
letter,letters/ke-3.mp3,ኪ,kee,
letter,letters/ke-4.mp3,ካ,kaa,
letter,letters/ke-5.mp3,ኬ,ke,
letter,letters/ke-6.mp3,ክ,kih,
letter,letters/ke-7.mp3,ኮ,ko,
letter,letters/khe-1.mp3,ኸ,kha,
letter,letters/khe-2.mp3,ኹ,khu,
letter,letters/khe-3.mp3,ኺ,khee,
letter,letters/khe-4.mp3,ኻ,khaa,
letter,letters/khe-5.mp3,ኼ,khe,
letter,letters/khe-6.mp3,ኽ,khih,
letter,letters/khe-7.mp3,ኾ,kho,
letter,letters/we-1.mp3,ወ,wa,
letter,letters/we-2.mp3,ዉ,wu,
letter,letters/we-3.mp3,ዊ,wee,
letter,letters/we-4.mp3,ዋ,waa,
letter,letters/we-5.mp3,ዌ,we,
letter,letters/we-6.mp3,ው,wih,
letter,letters/we-7.mp3,ዎ,wo,
letter,letters/ae-1.mp3,ዐ,a,
letter,letters/ae-2.mp3,ዑ,u,
letter,letters/ae-3.mp3,ዒ,ee,
letter,letters/ae-4.mp3,ዓ,aa,
letter,letters/ae-5.mp3,ዔ,e,
letter,letters/ae-6.mp3,ዕ,ih,
letter,letters/ae-7.mp3,ዖ,o,
letter,letters/ze-1.mp3,ዘ,za,
letter,letters/ze-2.mp3,ዙ,zu,
letter,letters/ze-3.mp3,ዚ,zee,
letter,letters/ze-4.mp3,ዛ,zaa,
letter,letters/ze-5.mp3,ዜ,ze,
letter,letters/ze-6.mp3,ዝ,zih,
letter,letters/ze-7.mp3,ዞ,zo,
letter,letters/zhe-1.mp3,ዠ,zha,
letter,letters/zhe-2.mp3,ዡ,zhu,
letter,letters/zhe-3.mp3,ዢ,zhee,
letter,letters/zhe-4.mp3,ዣ,zhaa,
letter,letters/zhe-5.mp3,ዤ,zhe,
letter,letters/zhe-6.mp3,ዥ,zhih,
letter,letters/zhe-7.mp3,ዦ,zho,
letter,letters/ye-1.mp3,የ,ya,
letter,letters/ye-2.mp3,ዩ,yu,
letter,letters/ye-3.mp3,ዪ,yee,
letter,letters/ye-4.mp3,ያ,yaa,
letter,letters/ye-5.mp3,ዬ,ye,
letter,letters/ye-6.mp3,ይ,yih,
letter,letters/ye-7.mp3,ዮ,yo,
letter,letters/de-1.mp3,ደ,da,
letter,letters/de-2.mp3,ዱ,du,
letter,letters/de-3.mp3,ዲ,dee,
letter,letters/de-4.mp3,ዳ,daa,
letter,letters/de-5.mp3,ዴ,de,
letter,letters/de-6.mp3,ድ,dih,
letter,letters/de-7.mp3,ዶ,do,
letter,letters/je-1.mp3,ጀ,ja,
letter,letters/je-2.mp3,ጁ,ju,
letter,letters/je-3.mp3,ጂ,jee,
letter,letters/je-4.mp3,ጃ,jaa,
letter,letters/je-5.mp3,ጄ,je,
letter,letters/je-6.mp3,ጅ,jih,
letter,letters/je-7.mp3,ጆ,jo,
letter,letters/ge-1.mp3,ገ,ga,
letter,letters/ge-2.mp3,ጉ,gu,
letter,letters/ge-3.mp3,ጊ,gee,
letter,letters/ge-4.mp3,ጋ,gaa,
letter,letters/ge-5.mp3,ጌ,ge,
letter,letters/ge-6.mp3,ግ,gih,
letter,letters/ge-7.mp3,ጎ,go,
letter,letters/the-1.mp3,ጠ,t'a,
letter,letters/the-2.mp3,ጡ,t'u,
letter,letters/the-3.mp3,ጢ,t'ee,
letter,letters/the-4.mp3,ጣ,t'aa,
letter,letters/the-5.mp3,ጤ,t'e,
letter,letters/the-6.mp3,ጥ,t'ih,
letter,letters/the-7.mp3,ጦ,t'o,
letter,letters/chhe-1.mp3,ጨ,ch'a,
letter,letters/chhe-2.mp3,ጩ,ch'u,
letter,letters/chhe-3.mp3,ጪ,ch'ee,
letter,letters/chhe-4.mp3,ጫ,ch'aa,
