type,file,glyph,say,meaning
letter,letters/ha-1.mp3,ሀ,hä,
letter,letters/ha-2.mp3,ሁ,hu,
letter,letters/ha-3.mp3,ሂ,hi,
letter,letters/ha-4.mp3,ሃ,ha,
letter,letters/ha-5.mp3,ሄ,he,
letter,letters/ha-6.mp3,ህ,hə,
letter,letters/ha-7.mp3,ሆ,ho,
letter,letters/le-1.mp3,ለ,lä,
letter,letters/le-2.mp3,ሉ,lu,
letter,letters/le-3.mp3,ሊ,li,
letter,letters/le-4.mp3,ላ,la,
letter,letters/le-5.mp3,ሌ,le,
letter,letters/le-6.mp3,ል,lə,
letter,letters/le-7.mp3,ሎ,lo,
letter,letters/hha-1.mp3,ሐ,ḥä,
letter,letters/hha-2.mp3,ሑ,ḥu,
letter,letters/hha-3.mp3,ሒ,ḥi,
letter,letters/hha-4.mp3,ሓ,ḥa,
letter,letters/hha-5.mp3,ሔ,ḥe,
letter,letters/hha-6.mp3,ሕ,ḥə,
letter,letters/hha-7.mp3,ሖ,ḥo,
letter,letters/me-1.mp3,መ,mä,
letter,letters/me-2.mp3,ሙ,mu,
letter,letters/me-3.mp3,ሚ,mi,
letter,letters/me-4.mp3,ማ,ma,
letter,letters/me-5.mp3,ሜ,me,
letter,letters/me-6.mp3,ም,mə,
letter,letters/me-7.mp3,ሞ,mo,
letter,letters/sse-1.mp3,ሠ,sä,
letter,letters/sse-2.mp3,ሡ,su,
letter,letters/sse-3.mp3,ሢ,si,
letter,letters/sse-4.mp3,ሣ,sa,
letter,letters/sse-5.mp3,ሤ,se,
letter,letters/sse-6.mp3,ሥ,sə,
letter,letters/sse-7.mp3,ሦ,so,
letter,letters/re-1.mp3,ረ,rä,
letter,letters/re-2.mp3,ሩ,ru,
letter,letters/re-3.mp3,ሪ,ri,
letter,letters/re-4.mp3,ራ,ra,
letter,letters/re-5.mp3,ሬ,re,
letter,letters/re-6.mp3,ር,rə,
letter,letters/re-7.mp3,ሮ,ro,
letter,letters/se-1.mp3,ሰ,sä,
letter,letters/se-2.mp3,ሱ,su,
letter,letters/se-3.mp3,ሲ,si,
letter,letters/se-4.mp3,ሳ,sa,
letter,letters/se-5.mp3,ሴ,se,
letter,letters/se-6.mp3,ስ,sə,
letter,letters/se-7.mp3,ሶ,so,
letter,letters/she-1.mp3,ሸ,shä,
letter,letters/she-2.mp3,ሹ,shu,
letter,letters/she-3.mp3,ሺ,shi,
letter,letters/she-4.mp3,ሻ,sha,
letter,letters/she-5.mp3,ሼ,she,
letter,letters/she-6.mp3,ሽ,shə,
letter,letters/she-7.mp3,ሾ,sho,
letter,letters/qe-1.mp3,ቀ,qä,
letter,letters/qe-2.mp3,ቁ,qu,
letter,letters/qe-3.mp3,ቂ,qi,
letter,letters/qe-4.mp3,ቃ,qa,
letter,letters/qe-5.mp3,ቄ,qe,
letter,letters/qe-6.mp3,ቅ,qə,
letter,letters/qe-7.mp3,ቆ,qo,
