"story_id","title_en","page","file_amharic","amharic","english","file_tigrinya","tigrinya"
"creation","Creation","1","stories/creation-1.mp3","እግዚአብሔር ብርሃንን ፈጠረ።","God made the light.","stories/ti/creation-1.mp3",""
"creation","Creation","2","stories/creation-2.mp3","ሰማይንና ባሕርን ፈጠረ።","He made the sky and sea.","stories/ti/creation-2.mp3",""
"creation","Creation","3","stories/creation-3.mp3","ፀሐይንና ጨረቃን ፈጠረ።","He made the sun and moon.","stories/ti/creation-3.mp3",""
"creation","Creation","4","stories/creation-4.mp3","እንስሳትን ፈጠረ።","He made the animals.","stories/ti/creation-4.mp3",""
"creation","Creation","5","stories/creation-5.mp3","ሁሉም መልካም ነበር።","Everything was good.","stories/ti/creation-5.mp3",""
"noah","Noah's Ark","1","stories/noah-1.mp3","ኖኅ ትልቅ መርከብ ሰራ።","Noah built a big ark.","stories/ti/noah-1.mp3",""
"noah","Noah's Ark","2","stories/noah-2.mp3","እንስሳት ሁለት ሁለት ገቡ።","Animals went in two by two.","stories/ti/noah-2.mp3",""
"noah","Noah's Ark","3","stories/noah-3.mp3","ትልቅ ዝናብ ዘነበ።","A big rain fell.","stories/ti/noah-3.mp3",""
"noah","Noah's Ark","4","stories/noah-4.mp3","ኖኅ ተጠበቀ።","Noah was kept safe.","stories/ti/noah-4.mp3",""
"noah","Noah's Ark","5","stories/noah-5.mp3","ቀስተ ደመና ወጣ።","A rainbow came out.","stories/ti/noah-5.mp3",""
"nativity","Baby Jesus is Born","1","stories/nativity-1.mp3","ማርያምና ዮሴፍ ተጓዙ።","Mary and Joseph traveled.","stories/ti/nativity-1.mp3",""
"nativity","Baby Jesus is Born","2","stories/nativity-2.mp3","ማደሪያ ቤት አጡ።","They found no place to stay.","stories/ti/nativity-2.mp3",""
"nativity","Baby Jesus is Born","3","stories/nativity-3.mp3","ሕፃኑ ኢየሱስ ተወለደ።","Baby Jesus was born.","stories/ti/nativity-3.mp3",""
"nativity","Baby Jesus is Born","4","stories/nativity-4.mp3","ብሩህ ኮከብ በራ።","A bright star shone.","stories/ti/nativity-4.mp3",""
"nativity","Baby Jesus is Born","5","stories/nativity-5.mp3","እረኞች ሊያዩት መጡ።","Shepherds came to see him.","stories/ti/nativity-5.mp3",""
"baby-moses","Baby Moses","1","stories/baby-moses-1.mp3","ሕፃኑ ሙሴ ተወለደ።","Baby Moses was born.","stories/ti/baby-moses-1.mp3",""
"baby-moses","Baby Moses","2","stories/baby-moses-2.mp3","እናቱ በቅርጫት አኖረችው።","His mother set him in a basket.","stories/ti/baby-moses-2.mp3",""
"baby-moses","Baby Moses","3","stories/baby-moses-3.mp3","ቅርጫቱ ተንሳፈፈ።","The basket floated.","stories/ti/baby-moses-3.mp3",""
"baby-moses","Baby Moses","4","stories/baby-moses-4.mp3","የንጉሥ ልጅ አገኘችው።","The king's daughter found him.","stories/ti/baby-moses-4.mp3",""
"good-shepherd","The Good Shepherd","1","stories/good-shepherd-1.mp3","እረኛው በጎች ነበሩት።","The shepherd had sheep.","stories/ti/good-shepherd-1.mp3",""
"good-shepherd","The Good Shepherd","2","stories/good-shepherd-2.mp3","አንዲት በግ ጠፋች።","One little sheep got lost.","stories/ti/good-shepherd-2.mp3",""
"good-shepherd","The Good Shepherd","3","stories/good-shepherd-3.mp3","እረኛው ፈለጋት።","The shepherd looked for her.","stories/ti/good-shepherd-3.mp3",""
"good-shepherd","The Good Shepherd","4","stories/good-shepherd-4.mp3","አገኛትና ተሸከማት።","He found and carried her.","stories/ti/good-shepherd-4.mp3",""
"adam-eve","Adam and Eve","1","stories/adam-eve-1.mp3","እግዚአብሔር አዳምን ፈጠረ።","God made Adam.","stories/ti/adam-eve-1.mp3",""
"adam-eve","Adam and Eve","2","stories/adam-eve-2.mp3","ሔዋንንም ፈጠረ።","He made Eve too.","stories/ti/adam-eve-2.mp3",""
"adam-eve","Adam and Eve","3","stories/adam-eve-3.mp3","በአትክልቱ ውስጥ ኖሩ።","They lived in the garden.","stories/ti/adam-eve-3.mp3",""
"adam-eve","Adam and Eve","4","stories/adam-eve-4.mp3","እግዚአብሔር ይወዳቸዋል።","God loves them.","stories/ti/adam-eve-4.mp3",""
"daniel","Daniel and the Lions","1","stories/daniel-1.mp3","ዳንኤል እግዚአብሔርን ወደደ።","Daniel loved God.","stories/ti/daniel-1.mp3",""
"daniel","Daniel and the Lions","2","stories/daniel-2.mp3","ወደ ጉድጓድ ጣሉት።","They put him in a pit.","stories/ti/daniel-2.mp3",""
"daniel","Daniel and the Lions","3","stories/daniel-3.mp3","አንበሶች ነበሩ።","There were lions.","stories/ti/daniel-3.mp3",""
"daniel","Daniel and the Lions","4","stories/daniel-4.mp3","እግዚአብሔር ጠበቀው።","God kept him safe.","stories/ti/daniel-4.mp3",""
"daniel","Daniel and the Lions","5","stories/daniel-5.mp3","ዳንኤል ደስ አለው።","Daniel was glad.","stories/ti/daniel-5.mp3",""
"jonah","Jonah and the Big Fish","1","stories/jonah-1.mp3","ዮናስ ከእግዚአብሔር ሸሸ።","Jonah ran from God.","stories/ti/jonah-1.mp3",""
"jonah","Jonah and the Big Fish","2","stories/jonah-2.mp3","ትልቅ ማዕበል መጣ።","A big storm came.","stories/ti/jonah-2.mp3",""
"jonah","Jonah and the Big Fish","3","stories/jonah-3.mp3","ትልቅ ዓሣ ዋጠው።","A big fish swallowed him.","stories/ti/jonah-3.mp3",""
"jonah","Jonah and the Big Fish","4","stories/jonah-4.mp3","ዮናስ ጸለየ።","Jonah prayed.","stories/ti/jonah-4.mp3",""
"jonah","Jonah and the Big Fish","5","stories/jonah-5.mp3","ዓሣው መልሶ አወጣው።","The fish brought him back.","stories/ti/jonah-5.mp3",""
"david","David and Goliath","1","stories/david-1.mp3","ዳዊት ትንሽ ልጅ ነበር።","David was a small boy.","stories/ti/david-1.mp3",""
"david","David and Goliath","2","stories/david-2.mp3","ጎልያድ ትልቅ ወታደር ነበር።","Goliath was a big soldier.","stories/ti/david-2.mp3",""
"david","David and Goliath","3","stories/david-3.mp3","ዳዊት እግዚአብሔርን ታመነ።","David trusted God.","stories/ti/david-3.mp3",""
"david","David and Goliath","4","stories/david-4.mp3","ዳዊት ድል ነሳ።","David won.","stories/ti/david-4.mp3",""
"jesus-children","Jesus and the Children","1","stories/jesus-children-1.mp3","ኢየሱስ ሰዎችን አስተማረ።","Jesus taught the people.","stories/ti/jesus-children-1.mp3",""
"jesus-children","Jesus and the Children","2","stories/jesus-children-2.mp3","ልጆች ወደ እሱ መጡ።","Children came to him.","stories/ti/jesus-children-2.mp3",""
